Year,Month,Day,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Malware Indicators,Anomaly Scores,Alerts,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,States,Proxy Information,Firewall Logs,IPS Alerts,Log Source,Source IP Address,Destination IP Address
2022,July,20,35538,35006,ICMP,661,Data,HTTP,Unknown,24.91,Alert Triggered,Malware,Known Pattern B,Ignored,Medium,Hunar Sem,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; xh-ZA) AppleWebKit/534.25.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6534.25.1",Segment B,Haryana,29.161.99.247,Unknown,Unknown,Server,177.21.83.200,196.218.124.169
2022,June,26,10903,36817,TCP,281,Control,HTTP,Unknown,86.07,Unknown,Malware,Known Pattern B,Ignored,Low,Mehul Raj,Opera/8.38.(X11; Linux x86_64; pt-BR) Presto/2.9.175 Version/12.00,Segment B,Mizoram,Unknown,Unknown,Unknown,Firewall,92.4.25.171,112.43.185.24
2020,September,30,53471,38048,ICMP,64,Control,DNS,Unknown,74.2,Alert Triggered,Intrusion,Known Pattern A,Blocked,Medium,Vaibhav Kala,Opera/8.54.(Windows NT 6.0; tg-TJ) Presto/2.9.170 Version/12.00,Segment B,Kerala,Unknown,Log Data,Alert Data,Server,57.91.207.84,98.96.110.38
2021,January,13,43729,10845,ICMP,1341,Data,HTTP,Unknown,62.14,Unknown,Malware,Known Pattern A,Ignored,Low,Siya Gera,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 10.0; Trident/4.1),Segment C,Odisha,59.131.15.72,Unknown,Unknown,Firewall,80.28.21.123,111.204.103.106
2023,February,1,47795,35243,UDP,913,Data,DNS,Unknown,72.65,Alert Triggered,Malware,Known Pattern B,Logged,High,Inaaya  Soman,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/5645-10-22 09:50:59 Firefox/3.8,Segment B,Maharashtra,155.121.88.187,Unknown,Unknown,Firewall,54.163.130.178,62.112.149.214
2023,September,15,24912,21176,TCP,425,Data,DNS,Unknown,91.56,Alert Triggered,Intrusion,Known Pattern B,Logged,Medium,Shaan Subramaniam,Opera/8.85.(X11; Linux x86_64; sk-SK) Presto/2.9.163 Version/11.00,Segment C,Tripura,Unknown,Log Data,Unknown,Firewall,130.163.192.252,12.192.2.112
2023,April,18,39934,5259,TCP,838,Control,HTTP,Unknown,43.83,Alert Triggered,DDoS,Known Pattern B,Ignored,High,Samarth Ratti,Opera/8.72.(Windows NT 6.1; ia-FR) Presto/2.9.160 Version/12.00,Segment B,Telangana,Unknown,Log Data,Unknown,Server,4.255.187.165,136.159.186.239
2023,February,21,16513,50583,TCP,969,Data,HTTP,Unknown,40.46,Unknown,DDoS,Known Pattern A,Logged,Low,Shayak Kapadia,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/46.0.873.0 Safari/536.0",Segment B,Mizoram,20.252.145.34,Log Data,Alert Data,Firewall,212.164.196.41,32.26.31.49
2020,December,29,4510,26783,TCP,124,Control,DNS,Unknown,44.75,Alert Triggered,DDoS,Known Pattern B,Ignored,High,Faiyaz Sathe,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 10.0; Trident/4.0),Segment C,Rajasthan,Unknown,Unknown,Unknown,Firewall,119.101.120.119,47.125.34.52
2020,July,27,55147,17595,TCP,461,Data,HTTP,IoC Detected,13.19,Unknown,DDoS,Known Pattern B,Ignored,High,Zara Sachar,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_8 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) FxiOS/18.1i4735.0 Mobile/92M384 Safari/533.2",Segment B,Uttarakhand,106.203.136.99,Log Data,Alert Data,Server,104.176.150.78,110.80.185.102
2021,July,16,24907,37634,ICMP,845,Control,DNS,Unknown,89.99,Alert Triggered,Malware,Known Pattern B,Blocked,Medium,Manjari Randhawa,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_1 rv:4.0; an-ES) AppleWebKit/533.41.7 (KHTML, like Gecko) Version/4.0.4 Safari/533.41.7",Segment A,West Bengal,71.135.96.151,Log Data,Unknown,Firewall,116.61.253.182,170.92.148.90
2022,April,29,37998,1757,UDP,410,Control,DNS,IoC Detected,86.91,Unknown,Malware,Known Pattern B,Blocked,Low,Sahil Kapoor,"Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/531.13.4 (KHTML, like Gecko) Version/4.0 Safari/531.13.4",Segment C,Rajasthan,Unknown,Log Data,Alert Data,Server,214.247.90.42,196.26.121.164
2023,February,24,3133,46077,UDP,1425,Data,DNS,Unknown,72.25,Unknown,DDoS,Known Pattern A,Logged,High,Akarsh Khurana,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/5.1),Segment A,Gujarat,169.32.12.215,Unknown,Alert Data,Server,57.7.171.107,76.146.23.52
2023,September,15,40832,28015,UDP,118,Data,HTTP,IoC Detected,96.27,Unknown,Malware,Known Pattern A,Logged,Medium,Dhanush Sagar,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/5.1),Segment A,Chhattisgarh,50.108.129.83,Unknown,Unknown,Firewall,46.236.76.78,68.194.124.162
2023,October,6,39911,27107,TCP,1386,Control,DNS,IoC Detected,67.43,Unknown,DDoS,Known Pattern A,Blocked,Medium,Anika Sharaf,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/5.1),Segment C,Rajasthan,Unknown,Log Data,Unknown,Server,71.41.31.239,105.193.254.47
2023,October,6,23021,31279,UDP,433,Control,DNS,Unknown,89.86,Alert Triggered,Intrusion,Known Pattern A,Logged,Low,Drishya Zachariah,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/535.3.1 (KHTML, like Gecko) Version/5.0.4 Safari/535.3.1",Segment C,Assam,Unknown,Log Data,Alert Data,Firewall,128.47.86.24,9.149.23.14
2021,January,31,32552,15521,UDP,531,Control,FTP,Unknown,87.23,Unknown,Malware,Known Pattern A,Blocked,High,Renee Ramachandran,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/533.47.5 (KHTML, like Gecko) Version/5.1 Safari/533.47.5",Segment C,Andhra Pradesh,183.242.33.16,Log Data,Alert Data,Firewall,182.232.245.98,153.211.183.215
2020,August,28,56607,33023,TCP,282,Control,HTTP,IoC Detected,44.4,Alert Triggered,DDoS,Known Pattern A,Logged,Low,Anahi Apte,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/5.0),Segment A,Andhra Pradesh,180.52.47.153,Unknown,Alert Data,Firewall,208.44.127.159,121.167.40.167
2021,May,29,64351,43307,ICMP,1487,Control,HTTP,IoC Detected,45.42,Unknown,Intrusion,Known Pattern B,Blocked,Low,Faiyaz Som,Opera/8.62.(X11; Linux i686; ru-UA) Presto/2.9.184 Version/11.00,Segment C,Madhya Pradesh,Unknown,Log Data,Alert Data,Firewall,197.137.61.248,87.49.219.65
2022,May,30,19954,11594,UDP,563,Control,DNS,IoC Detected,25.7,Unknown,Intrusion,Known Pattern B,Ignored,Medium,Kavya Shenoy,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/61.0.892.0 Safari/533.0",Segment C,Telangana,Unknown,Log Data,Alert Data,Firewall,69.60.34.24,160.208.108.125
2022,August,2,63062,49527,TCP,1313,Control,HTTP,IoC Detected,69.2,Alert Triggered,DDoS,Known Pattern B,Logged,Low,Tushar Borra,"Mozilla/5.0 (iPad; CPU iPad OS 3_1_3 like Mac OS X) AppleWebKit/536.0 (KHTML, like Gecko) CriOS/61.0.810.0 Mobile/41V682 Safari/536.0",Segment C,West Bengal,Unknown,Log Data,Unknown,Firewall,110.207.118.63,172.36.150.79
2023,January,10,39208,61136,UDP,350,Control,HTTP,Unknown,77.06,Alert Triggered,DDoS,Known Pattern A,Ignored,Medium,Mannat Goyal,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/535.44.6 (KHTML, like Gecko) Version/5.0 Safari/535.44.6",Segment A,Karnataka,Unknown,Log Data,Alert Data,Firewall,188.40.103.145,84.139.233.32
2020,October,15,12932,47900,TCP,373,Data,DNS,IoC Detected,3.87,Alert Triggered,Malware,Known Pattern A,Ignored,Medium,Tushar Shenoy,Opera/9.76.(X11; Linux i686; ha-NG) Presto/2.9.181 Version/12.00,Segment B,Tripura,Unknown,Log Data,Alert Data,Server,99.8.190.190,91.166.229.253
2021,June,9,11482,16459,ICMP,1155,Control,DNS,Unknown,25.93,Alert Triggered,Malware,Known Pattern A,Blocked,Low,Jiya Devan,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_0) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/45.0.897.0 Safari/533.2",Segment B,Goa,40.171.118.90,Unknown,Unknown,Firewall,128.62.6.140,4.104.218.143
2020,July,8,18768,8138,TCP,521,Data,FTP,IoC Detected,60.57,Alert Triggered,DDoS,Known Pattern B,Ignored,High,Yasmin Balan,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) FxiOS/10.1v4161.0 Mobile/63G518 Safari/532.2",Segment C,Tamil Nadu,Unknown,Log Data,Alert Data,Server,211.43.37.93,93.146.128.133
2023,September,23,41615,15184,ICMP,1346,Data,FTP,IoC Detected,67.73,Unknown,Intrusion,Known Pattern A,Blocked,Low,Bhavin Chaudhari,Mozilla/5.0 (Android 7.1; Mobile; rv:22.0) Gecko/22.0 Firefox/22.0,Segment A,Uttar Pradesh,Unknown,Unknown,Alert Data,Server,203.171.62.228,27.5.94.221
2022,May,22,34512,40467,UDP,1311,Control,DNS,IoC Detected,75.16,Unknown,DDoS,Known Pattern B,Blocked,Medium,Aniruddh Dani,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/16.4h8714.0 Mobile/30G353 Safari/534.2",Segment C,Chhattisgarh,Unknown,Unknown,Alert Data,Firewall,115.120.220.179,72.56.150.150
2022,June,4,28975,5960,UDP,117,Control,FTP,Unknown,75.46,Alert Triggered,Malware,Known Pattern B,Logged,Low,Eva Dalal,Mozilla/5.0 (Android 1.0; Mobile; rv:45.0) Gecko/45.0 Firefox/45.0,Segment B,Mizoram,Unknown,Unknown,Unknown,Server,140.29.40.43,61.57.62.247
2022,December,29,46111,15554,TCP,1271,Control,HTTP,Unknown,49.03,Alert Triggered,Malware,Known Pattern B,Logged,Medium,Nehmat Joshi,Opera/8.48.(Windows NT 6.0; mt-MT) Presto/2.9.171 Version/12.00,Segment C,Gujarat,Unknown,Unknown,Alert Data,Firewall,76.128.95.185,142.92.111.242
2023,March,14,5032,1068,TCP,308,Control,DNS,Unknown,85.28,Alert Triggered,Intrusion,Known Pattern A,Blocked,Medium,Ojas Ray,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/10.8u7697.0 Mobile/58J944 Safari/534.2",Segment A,Sikkim,153.251.24.124,Unknown,Unknown,Server,118.23.216.0,109.17.204.56
2021,February,13,58316,54095,TCP,545,Data,DNS,Unknown,6.44,Unknown,DDoS,Known Pattern B,Ignored,Medium,Ela Guha,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; ber-DZ) AppleWebKit/535.35.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6535.35.7",Segment A,Maharashtra,Unknown,Unknown,Alert Data,Firewall,212.153.110.146,59.138.247.230
2021,May,23,26896,45972,UDP,572,Control,DNS,Unknown,22.17,Unknown,DDoS,Known Pattern B,Ignored,Low,Keya Biswas,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/5.0),Segment B,Uttar Pradesh,172.194.101.64,Log Data,Alert Data,Server,6.64.251.220,137.104.11.138
2022,December,1,1031,40417,TCP,1474,Control,HTTP,IoC Detected,29.66,Unknown,DDoS,Known Pattern B,Logged,Low,Trisha Rajagopal,"Mozilla/5.0 (Linux; Android 4.4) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/16.0.840.0 Safari/534.2",Segment A,Tripura,Unknown,Unknown,Unknown,Firewall,170.112.189.99,21.28.78.79
2022,July,21,57124,48417,UDP,1363,Data,FTP,IoC Detected,10.75,Alert Triggered,Intrusion,Known Pattern A,Blocked,High,Farhan Mahal,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/531.24.5 (KHTML, like Gecko) Version/5.0.4 Safari/531.24.5",Segment A,Uttarakhand,Unknown,Log Data,Unknown,Server,50.30.140.36,76.154.100.68
2023,June,9,32979,3852,UDP,443,Data,DNS,Unknown,42.14,Alert Triggered,Malware,Known Pattern B,Ignored,High,Zara Kar,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_5; rv:1.9.3.20) Gecko/2197-07-11 00:07:59 Firefox/14.0,Segment A,Rajasthan,16.90.191.251,Log Data,Alert Data,Server,194.120.14.24,201.55.168.126
2020,April,10,59738,44531,TCP,1026,Data,FTP,Unknown,77.73,Unknown,DDoS,Known Pattern B,Logged,Low,Samar Loyal,Opera/9.51.(X11; Linux i686; byn-ER) Presto/2.9.185 Version/12.00,Segment A,West Bengal,Unknown,Unknown,Unknown,Firewall,69.29.17.248,85.236.61.31
2023,May,16,25022,6593,TCP,554,Control,DNS,IoC Detected,97.82,Alert Triggered,Malware,Known Pattern B,Blocked,High,Aradhya Kamdar,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; sk-SK) AppleWebKit/531.45.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6531.45.6",Segment A,Kerala,95.170.137.42,Log Data,Alert Data,Firewall,170.211.138.30,172.97.181.148
2020,October,8,10584,23178,ICMP,649,Data,HTTP,IoC Detected,83.36,Alert Triggered,Intrusion,Known Pattern A,Blocked,High,Hansh Chaudhari,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/7083-06-02 15:24:24 Firefox/3.6.9,Segment C,Bihar,197.238.110.123,Unknown,Alert Data,Server,107.247.253.62,45.35.146.21
2021,August,20,23934,57206,TCP,1378,Control,DNS,IoC Detected,40.71,Unknown,Malware,Known Pattern A,Blocked,Medium,Nishith Tandon,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 10.0; Trident/4.1),Segment C,Chhattisgarh,20.86.235.147,Log Data,Alert Data,Firewall,118.175.170.127,43.100.128.47
2021,May,8,57819,10509,ICMP,107,Data,HTTP,Unknown,1.33,Alert Triggered,DDoS,Known Pattern B,Ignored,High,Ishita Tella,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/5.0),Segment A,Assam,131.208.67.33,Log Data,Unknown,Firewall,16.65.249.237,24.79.26.247
2023,January,18,49005,19289,ICMP,317,Data,HTTP,IoC Detected,56.92,Unknown,DDoS,Known Pattern A,Ignored,Low,Mohanlal Talwar,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Trident/4.0),Segment A,Himachal Pradesh,79.251.62.155,Log Data,Alert Data,Server,122.130.86.58,110.54.165.63
2021,April,16,56497,23998,ICMP,875,Data,HTTP,IoC Detected,0.9,Unknown,DDoS,Known Pattern B,Blocked,High,Aradhya Yadav,"Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/532.30.2 (KHTML, like Gecko) Version/5.0 Safari/532.30.2",Segment B,Nagaland,211.236.141.117,Unknown,Unknown,Server,193.45.37.6,191.56.96.54
2022,April,28,32348,12619,UDP,576,Data,DNS,Unknown,77.7,Unknown,DDoS,Known Pattern A,Blocked,Low,Samarth Shenoy,Opera/8.62.(X11; Linux i686; niu-NZ) Presto/2.9.168 Version/10.00,Segment B,Haryana,Unknown,Log Data,Unknown,Firewall,68.123.14.202,168.106.24.90
2023,February,20,23870,21385,TCP,619,Data,FTP,IoC Detected,67.56,Alert Triggered,Intrusion,Known Pattern B,Logged,High,Siya Singhal,Opera/9.85.(Windows NT 6.0; cmn-TW) Presto/2.9.161 Version/11.00,Segment B,Bihar,Unknown,Log Data,Unknown,Server,19.14.168.54,68.144.93.235
2020,December,13,46895,63852,TCP,1224,Data,HTTP,IoC Detected,91.82,Alert Triggered,Malware,Known Pattern A,Logged,Medium,Urvi Jani,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/3684-05-05 05:03:25 Firefox/3.6.10,Segment C,Tamil Nadu,Unknown,Unknown,Alert Data,Server,168.159.245.149,211.64.146.125
2022,August,20,11468,31398,TCP,632,Data,FTP,Unknown,50.13,Unknown,Malware,Known Pattern A,Logged,Low,Faiyaz Singh,Mozilla/5.0 (Windows NT 6.1; uk-UA; rv:1.9.0.20) Gecko/8087-10-21 04:44:05 Firefox/4.0,Segment C,Assam,Unknown,Log Data,Unknown,Firewall,22.96.76.59,43.219.176.9
2022,May,23,30954,3615,UDP,670,Control,HTTP,Unknown,41.53,Unknown,Intrusion,Known Pattern B,Blocked,Low,Piya Gole,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_2 rv:3.0; ve-ZA) AppleWebKit/531.23.7 (KHTML, like Gecko) Version/4.1 Safari/531.23.7",Segment A,Uttar Pradesh,Unknown,Log Data,Unknown,Server,163.93.76.114,36.148.218.135
2020,January,12,59009,28541,ICMP,88,Data,HTTP,Unknown,91.21,Unknown,DDoS,Known Pattern B,Blocked,High,Anaya Anand,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/51.0.812.0 Safari/534.2",Segment C,Himachal Pradesh,Unknown,Log Data,Unknown,Server,37.225.176.201,204.179.190.185
2021,March,24,38169,9878,TCP,1497,Control,HTTP,Unknown,82.8,Alert Triggered,Malware,Known Pattern B,Ignored,Low,Tara Deol,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/531.34.5 (KHTML, like Gecko) Version/5.0 Safari/531.34.5",Segment C,West Bengal,98.113.146.243,Unknown,Alert Data,Server,123.233.44.106,154.223.194.82
2020,January,12,35384,2184,ICMP,304,Data,DNS,Unknown,78.85,Unknown,Intrusion,Known Pattern A,Ignored,High,Romil Sami,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; zu-ZA) AppleWebKit/534.7.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6534.7.3",Segment A,Mizoram,122.32.192.199,Log Data,Unknown,Firewall,158.145.58.183,82.213.128.111
2021,October,8,22371,4914,ICMP,1001,Data,HTTP,IoC Detected,50.69,Alert Triggered,DDoS,Known Pattern A,Ignored,Low,Zoya Guha,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/6952-11-18 03:21:41 Firefox/3.8,Segment A,Assam,6.126.178.223,Unknown,Unknown,Firewall,193.109.94.146,189.14.24.22
2022,August,17,10510,4024,UDP,1352,Data,HTTP,IoC Detected,75.3,Unknown,Malware,Known Pattern A,Logged,High,Farhan Bail,"Mozilla/5.0 (iPad; CPU iPad OS 7_1_2 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) CriOS/20.0.803.0 Mobile/91J888 Safari/533.1",Segment B,Odisha,Unknown,Unknown,Alert Data,Server,122.108.169.214,7.195.147.252
2022,August,17,57482,1091,UDP,548,Data,FTP,Unknown,33.08,Unknown,DDoS,Known Pattern B,Blocked,Low,Lavanya Sachdeva,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; et-EE) AppleWebKit/532.16.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6532.16.5",Segment C,Gujarat,30.88.14.231,Unknown,Alert Data,Server,64.58.36.254,179.161.134.184
2020,March,10,7703,19110,UDP,1114,Data,DNS,Unknown,7.27,Alert Triggered,Intrusion,Known Pattern A,Logged,High,Baiju Bandi,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; eu-FR) AppleWebKit/532.17.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6532.17.5",Segment B,Maharashtra,21.71.155.63,Unknown,Alert Data,Server,61.217.244.146,167.60.226.61
2022,November,20,33992,31136,TCP,149,Data,DNS,IoC Detected,76.68,Alert Triggered,DDoS,Known Pattern B,Ignored,Low,Kanav Datta,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/533.40.6 (KHTML, like Gecko) Version/4.0.2 Safari/533.40.6",Segment A,Telangana,Unknown,Unknown,Alert Data,Server,21.23.245.141,135.172.206.155
2022,November,17,55666,4791,TCP,548,Data,FTP,IoC Detected,36.22,Alert Triggered,Intrusion,Known Pattern B,Logged,Medium,Stuvan Sinha,"Mozilla/5.0 (iPad; CPU iPad OS 7_1_2 like Mac OS X) AppleWebKit/535.1 (KHTML, like Gecko) CriOS/30.0.872.0 Mobile/84N386 Safari/535.1",Segment C,Uttarakhand,Unknown,Unknown,Alert Data,Firewall,183.2.17.209,205.172.143.0
2022,January,8,20947,24568,UDP,1106,Control,HTTP,IoC Detected,13.36,Alert Triggered,Malware,Known Pattern A,Logged,High,Mamooty Bhandari,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/6118-09-02 08:00:39 Firefox/3.6.3,Segment C,Haryana,38.219.87.215,Unknown,Alert Data,Firewall,89.234.123.19,180.17.247.177
2020,March,3,38322,33655,UDP,1290,Control,FTP,IoC Detected,69.01,Unknown,Intrusion,Known Pattern B,Ignored,Low,Keya Basak,Mozilla/5.0 (Android 6.0; Mobile; rv:58.0) Gecko/58.0 Firefox/58.0,Segment B,Gujarat,Unknown,Unknown,Alert Data,Server,157.164.90.122,7.220.81.96
2021,February,15,15973,29809,UDP,190,Data,DNS,IoC Detected,4.74,Alert Triggered,DDoS,Known Pattern B,Logged,High,Divit Sharaf,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) CriOS/58.0.863.0 Mobile/85V830 Safari/531.1",Segment A,Arunachal Pradesh,54.169.213.25,Unknown,Alert Data,Firewall,123.185.30.222,22.188.5.93
2020,September,13,5107,60905,ICMP,995,Control,DNS,Unknown,51.66,Alert Triggered,Malware,Known Pattern A,Logged,High,Shray Agrawal,Opera/9.38.(Windows 95; tn-ZA) Presto/2.9.189 Version/11.00,Segment C,Uttar Pradesh,98.8.33.127,Log Data,Unknown,Firewall,185.157.240.136,107.0.155.243
2022,December,25,15067,58291,TCP,1342,Control,HTTP,IoC Detected,83.86,Alert Triggered,Intrusion,Known Pattern A,Blocked,High,Saksham Bansal,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_9 rv:4.0; nb-NO) AppleWebKit/533.40.5 (KHTML, like Gecko) Version/5.1 Safari/533.40.5",Segment B,Meghalaya,218.15.7.144,Log Data,Unknown,Firewall,195.177.54.54,50.191.236.203
2021,January,27,18782,24516,ICMP,722,Data,HTTP,Unknown,79.61,Alert Triggered,Malware,Known Pattern A,Ignored,Medium,Emir Krishnan,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_0; rv:1.9.4.20) Gecko/7376-12-15 19:07:42 Firefox/3.8,Segment C,Tamil Nadu,135.149.249.27,Log Data,Alert Data,Firewall,221.219.44.103,36.211.253.244
2023,May,30,44364,53766,ICMP,1181,Control,DNS,Unknown,14.95,Alert Triggered,Malware,Known Pattern B,Blocked,Low,Vritika Shukla,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_2 rv:4.0; ti-ET) AppleWebKit/533.22.7 (KHTML, like Gecko) Version/5.0.4 Safari/533.22.7",Segment A,Sikkim,Unknown,Unknown,Alert Data,Server,86.165.141.178,19.155.138.245
