Student_ID,Name,Age,Gender,Grade_Level,Math_Score,English_Score,Science_Score,History_Score,Attendance_Rate,Participation_Rate,Parental_Involvement,Study_Hours_Per_Week,Extracurricular_Activities,Scholarship_Status,Household_Income,School_Funding_Level,Technology_Access,Test_Anxiety_Level,Future_Plans
S0043,Student_43,21,Female,Sophomore,66,57,96,73,98.07,70.8,High,9,Arts,No,26799,High,Yes,Medium,Undecided
S0044,Student_44,25,Male,Senior,78,53,83,50,91.87,83.83,Low,32,None,No,72400,Medium,No,Low,Gap Year
S0045,Student_45,17,Non-Binary,Senior,53,73,51,55,77.13,71.92,High,34,None,No,93802,Medium,Yes,High,College
S0046,Student_46,15,Male,Junior,55,56,46,48,83.61,88.9,High,12,Sports,No,61447,Medium,No,Low,College
S0047,Student_47,19,Male,Freshman,50,55,79,44,84.8,89.0,Low,6,None,Yes,53161,Low,No,Low,Gap Year
S0048,Student_48,17,Female,Junior,54,74,42,57,79.19,83.37,Medium,16,None,No,90658,Low,No,Medium,Undecided
S0049,Student_49,16,Male,Freshman,75,75,89,66,99.86,93.89,Medium,21,None,Yes,90970,Medium,No,Medium,Gap Year
S0050,Student_50,23,Female,Senior,69,85,66,96,83.41,74.5,Low,35,Arts,No,98862,Low,Yes,Medium,College
S0051,Student_51,20,Male,Senior,68,43,77,56,75.0,69.62,Low,32,Clubs,Yes,73742,Medium,No,High,College
S0052,Student_52,25,Male,Sophomore,83,58,48,69,96.78,65.36,Medium,15,Arts,Yes,41912,High,No,Low,Job
S0053,Student_53,21,Non-Binary,Sophomore,48,52,99,96,90.78,90.43,Low,16,Sports,Yes,89239,Low,No,Low,Job
S0054,Student_54,25,Female,Freshman,44,54,87,86,95.58,75.98,High,8,None,No,38569,Medium,Yes,Medium,Job
S0055,Student_55,19,Female,Senior,49,93,73,79,93.16,91.01,Low,11,Arts,No,40967,High,Yes,Medium,Job
S0056,Student_56,16,Male,Junior,82,84,40,83,99.07,62.69,High,30,Sports,Yes,84203,Medium,No,High,Undecided
S0057,Student_57,25,Male,Freshman,62,55,69,62,93.18,82.82,Medium,6,Clubs,No,88624,High,Yes,Medium,Undecided
S0058,Student_58,24,Male,Senior,44,49,78,65,93.13,70.44,Medium,31,None,No,46409,Medium,No,Medium,Gap Year
S0059,Student_59,24,Male,Junior,79,91,64,84,94.62,84.05,High,26,Clubs,No,27502,Medium,Yes,Low,Gap Year
S0060,Student_60,21,Female,Freshman,88,66,75,75,96.28,82.86,Low,24,None,No,93639,High,Yes,High,Job
S0061,Student_61,15,Female,Senior,60,89,68,66,97.53,73.36,High,5,Clubs,No,97824,Medium,No,Medium,Undecided
S0062,Student_62,23,Male,Junior,87,69,78,100,94.84,70.23,Medium,33,Sports,No,21243,Medium,No,Medium,Gap Year
S0063,Student_63,15,Female,Junior,81,66,98,69,81.16,76.59,Medium,6,Arts,Yes,24800,Medium,Yes,High,College
S0064,Student_64,18,Male,Sophomore,52,65,41,81,95.99,63.23,High,32,None,No,64481,High,Yes,High,College
S0065,Student_65,17,Male,Senior,99,67,51,74,85.79,63.77,Low,19,None,No,46480,High,Yes,Medium,Job
S0066,Student_66,17,Female,Junior,59,88,56,42,83.92,89.76,Medium,35,Sports,Yes,86685,Low,No,High,Gap Year
S0067,Student_67,23,Non-Binary,Freshman,45,91,90,85,99.7,81.7,Medium,33,Sports,Yes,44067,Low,Yes,High,College
S0068,Student_68,17,Male,Sophomore,76,68,50,67,91.37,96.49,High,19,None,Yes,94106,Low,No,High,Undecided
S0069,Student_69,23,Male,Freshman,85,70,48,50,91.57,70.88,Low,35,None,No,70898,High,No,High,College
S0070,Student_70,17,Male,Senior,80,99,66,54,90.89,84.32,Low,9,None,No,93440,Low,No,Low,College
S0071,Student_71,16,Non-Binary,Freshman,84,74,95,69,93.88,92.02,Low,29,Clubs,Yes,46119,High,Yes,Medium,College
S0072,Student_72,18,Female,Freshman,86,88,65,40,86.68,88.98,Medium,20,Sports,Yes,74423,Low,Yes,High,College
S0073,Student_73,20,Female,Freshman,50,50,67,89,83.89,86.79,High,32,Arts,Yes,23280,Low,Yes,Medium,Gap Year
S0074,Student_74,19,Female,Junior,70,43,66,87,78.96,91.56,High,27,Clubs,Yes,82568,Low,Yes,Medium,Gap Year
S0075,Student_75,21,Female,Junior,67,91,100,77,96.68,85.94,Low,34,Arts,No,56735,Medium,Yes,Low,College
S0076,Student_76,25,Non-Binary,Senior,67,58,53,89,85.44,92.31,Low,29,Sports,No,87061,High,No,Medium,Undecided
S0077,Student_77,20,Non-Binary,Freshman,94,56,48,47,90.41,75.26,Low,12,Arts,No,73084,High,No,Medium,Job
S0078,Student_78,19,Female,Senior,67,71,80,62,79.13,82.85,Medium,18,Arts,No,20221,High,Yes,Low,Job
S0079,Student_79,22,Female,Sophomore,56,47,71,40,93.87,75.53,Low,21,Clubs,No,62819,Medium,Yes,Medium,Job
S0080,Student_80,24,Female,Freshman,83,80,66,94,78.56,84.53,Medium,31,Clubs,No,76272,High,Yes,Low,College
S0081,Student_81,19,Non-Binary,Junior,74,77,54,71,91.6,93.56,Low,21,Clubs,No,36194,Low,No,High,Gap Year
S0082,Student_82,19,Male,Freshman,69,42,57,53,98.76,74.2,Low,16,Sports,No,70281,High,Yes,High,Job
S0083,Student_83,25,Non-Binary,Junior,96,92,90,79,99.73,73.61,Low,6,Clubs,No,92837,Low,Yes,Medium,College
S0084,Student_84,17,Male,Freshman,60,98,66,53,76.63,81.86,High,23,None,No,99235,Medium,Yes,Low,Gap Year
S0085,Student_85,16,Non-Binary,Junior,76,93,69,62,75.37,66.96,Low,5,None,No,71062,Low,Yes,Medium,Job
S0086,Student_86,22,Non-Binary,Freshman,100,97,98,64,79.96,94.93,Medium,25,Clubs,Yes,58945,Low,Yes,High,Job
S0087,Student_87,18,Male,Sophomore,45,90,78,65,75.42,93.91,High,26,Clubs,No,41109,High,No,Medium,Undecided
S0088,Student_88,23,Female,Sophomore,63,66,44,89,79.44,88.59,High,5,None,No,72411,Medium,No,Medium,Job
S0089,Student_89,25,Non-Binary,Junior,86,85,40,57,96.69,67.7,Medium,38,Clubs,No,90224,High,No,Medium,Gap Year
S0090,Student_90,18,Non-Binary,Sophomore,57,67,65,43,86.94,93.99,Medium,11,Clubs,Yes,96236,Low,No,Medium,College
S0091,Student_91,25,Non-Binary,Senior,79,96,75,94,87.01,61.37,Medium,31,Arts,Yes,34433,High,No,High,Undecided
S0092,Student_92,21,Male,Junior,65,64,41,99,99.5,93.87,High,21,Clubs,No,38824,High,No,High,Job
S0093,Student_93,20,Non-Binary,Senior,85,53,85,57,87.14,96.5,High,24,Sports,Yes,82419,Medium,No,Low,Job
S0094,Student_94,21,Female,Senior,87,86,100,81,99.75,76.38,Low,33,Arts,No,29745,Medium,No,High,College
S0095,Student_95,21,Male,Freshman,71,59,78,88,89.56,97.86,Low,30,None,Yes,82311,Low,Yes,Medium,Gap Year
S0096,Student_96,17,Female,Freshman,94,51,53,48,79.09,81.59,High,39,Sports,Yes,43890,High,No,High,Gap Year
S0097,Student_97,19,Non-Binary,Sophomore,52,92,68,74,93.86,69.49,Low,7,Sports,No,96261,Medium,No,Medium,College
S0098,Student_98,21,Male,Freshman,81,96,97,72,94.04,69.19,High,31,Sports,No,85615,Medium,Yes,High,Undecided
S0099,Student_99,20,Male,Junior,73,83,56,79,88.03,99.61,Medium,37,Arts,No,23932,Medium,Yes,High,Gap Year
S0100,Student_100,21,Female,Sophomore,75,41,58,83,76.95,76.33,Low,12,Arts,No,79559,Medium,Yes,Medium,College
S0101,Student_101,17,Male,Junior,85,93,81,80,81.11,67.14,Low,9,None,No,39461,High,No,Medium,College
S0102,Student_102,23,Male,Freshman,42,79,76,82,84.49,80.25,High,35,Clubs,Yes,75135,Medium,Yes,Medium,College
S0103,Student_103,18,Male,Sophomore,100,77,65,45,98.78,68.52,Low,11,None,No,31427,Low,No,Medium,Undecided
S0104,Student_104,19,Female,Senior,77,95,100,68,85.08,92.41,Medium,10,Sports,No,61327,Medium,Yes,High,Gap Year
S0105,Student_105,17,Male,Junior,72,74,49,51,75.89,97.41,Low,26,Arts,No,83711,Medium,No,High,Gap Year
S0106,Student_106,16,Male,Sophomore,71,85,69,80,85.59,89.99,Medium,25,Sports,No,43100,Low,No,Low,Job
S0107,Student_107,17,Male,Freshman,53,73,61,41,88.75,81.52,High,24,None,Yes,21904,High,Yes,High,Job
S0108,Student_108,19,Non-Binary,Freshman,92,57,41,55,82.41,74.63,Medium,30,Clubs,No,27451,Low,No,Low,Job
S0109,Student_109,18,Male,Senior,75,76,69,62,83.14,68.67,High,31,None,Yes,91553,Low,No,Medium,Undecided
S0110,Student_110,20,Female,Senior,81,74,66,85,86.12,62.85,High,9,None,No,21696,Low,No,High,College
S0111,Student_111,24,Female,Sophomore,58,87,46,57,97.25,92.94,Medium,6,Sports,Yes,87226,High,No,Low,Gap Year
S0112,Student_112,18,Male,Freshman,51,87,68,92,85.69,87.27,Medium,30,None,Yes,55152,Medium,No,Low,Undecided
S0113,Student_113,25,Male,Freshman,59,97,95,92,80.43,65.62,Low,6,Clubs,Yes,54976,Medium,Yes,High,Gap Year
S0114,Student_114,18,Female,Senior,59,96,88,68,79.66,93.2,Medium,9,Clubs,No,64110,Medium,Yes,High,Job
S0115,Student_115,21,Female,Freshman,83,59,94,61,78.77,99.4,High,25,Sports,Yes,72071,Medium,No,Low,Undecided
S0116,Student_116,24,Male,Sophomore,79,44,89,63,82.52,73.22,Low,5,Sports,Yes,71825,Medium,Yes,High,College
S0117,Student_117,24,Non-Binary,Senior,85,82,73,61,95.34,60.05,Medium,14,Arts,Yes,82986,Medium,Yes,Medium,Job
S0118,Student_118,23,Male,Sophomore,43,87,85,47,92.98,93.26,Low,33,Clubs,Yes,72652,High,No,High,Gap Year
S0119,Student_119,16,Non-Binary,Junior,88,53,67,51,97.47,98.83,Low,24,Sports,No,23586,High,No,Medium,Job
S0120,Student_120,20,Male,Senior,57,71,72,96,83.8,84.71,High,12,Arts,No,89665,Medium,Yes,Medium,College
S0121,Student_121,22,Female,Junior,42,57,58,42,79.12,98.91,Medium,12,Sports,No,84829,High,Yes,High,Gap Year
S0122,Student_122,25,Non-Binary,Senior,56,96,76,89,98.32,79.75,High,28,Arts,Yes,89734,High,No,Low,Gap Year
S0123,Student_123,18,Non-Binary,Junior,81,84,80,78,86.61,91.62,Medium,20,Clubs,No,84444,Medium,No,High,Gap Year
S0124,Student_124,18,Male,Sophomore,83,70,63,54,94.96,80.57,High,19,Arts,Yes,93332,High,Yes,Low,Gap Year
S0125,Student_125,15,Female,Senior,59,78,43,79,76.21,75.57,High,16,Arts,Yes,34303,Low,Yes,High,Job
S0126,Student_126,21,Male,Freshman,72,49,68,81,80.97,85.52,Medium,29,Clubs,No,31477,Low,Yes,High,Gap Year
S0127,Student_127,23,Male,Senior,47,86,44,76,98.39,99.88,High,21,Arts,No,39784,Medium,Yes,Low,College
S0128,Student_128,25,Female,Junior,76,57,94,58,76.52,98.52,High,12,Arts,Yes,27924,High,No,Medium,Job
S0129,Student_129,21,Non-Binary,Senior,82,94,50,80,76.68,98.98,High,8,Arts,No,81634,Medium,Yes,Low,Undecided
S0130,Student_130,16,Male,Senior,82,88,99,93,94.83,81.14,High,6,None,No,95372,High,Yes,Low,College
S0131,Student_131,23,Non-Binary,Sophomore,92,52,57,49,76.31,65.81,Low,22,Clubs,No,58275,High,No,High,Job
S0132,Student_132,15,Non-Binary,Freshman,88,80,69,89,96.95,92.63,Low,37,Clubs,No,46873,High,No,Medium,Gap Year
S0133,Student_133,17,Male,Sophomore,94,97,93,43,77.06,76.38,Medium,5,Clubs,Yes,87525,Medium,Yes,Medium,Gap Year
S0134,Student_134,23,Female,Freshman,55,95,64,74,80.04,62.44,Medium,32,Sports,Yes,93550,Low,Yes,High,College
S0135,Student_135,23,Male,Senior,46,46,54,92,98.47,84.69,High,30,Arts,Yes,70559,High,No,Low,Job
S0136,Student_136,17,Non-Binary,Sophomore,93,42,100,70,86.44,77.0,Medium,8,Clubs,Yes,25788,High,No,Low,College
S0137,Student_137,24,Male,Junior,61,41,53,47,83.99,85.35,High,34,Clubs,No,29341,Medium,No,Low,College
S0138,Student_138,20,Male,Freshman,75,43,66,76,86.82,96.56,Medium,18,Arts,No,58900,Low,No,Low,Job
S0139,Student_139,22,Male,Junior,48,100,77,41,79.04,84.4,Medium,36,None,Yes,24414,High,Yes,High,College
S0140,Student_140,15,Male,Senior,92,98,91,59,76.29,62.08,Low,28,Clubs,Yes,68965,Medium,Yes,Low,College
S0141,Student_141,20,Non-Binary,Sophomore,83,56,91,67,80.77,99.5,Low,38,Arts,Yes,23209,Medium,No,Medium,Undecided
S0142,Student_142,17,Female,Junior,90,96,76,99,91.85,87.95,Medium,27,Clubs,No,58825,Medium,Yes,High,Job
S0143,Student_143,19,Male,Senior,88,49,91,43,78.82,78.33,High,17,Sports,Yes,26459,Low,No,Medium,Job
S0144,Student_144,16,Male,Freshman,75,95,95,40,75.61,97.31,Medium,29,Clubs,No,32618,Low,No,Low,Undecided
S0145,Student_145,16,Non-Binary,Freshman,74,82,82,55,83.1,88.78,High,29,Arts,Yes,23970,Medium,Yes,High,College
S0146,Student_146,21,Male,Sophomore,93,69,70,79,81.77,71.76,Low,16,Sports,Yes,76681,Medium,No,High,College
S0147,Student_147,16,Female,Senior,42,57,90,77,87.19,86.83,High,15,Arts,No,88489,Medium,Yes,High,Job
S0148,Student_148,22,Non-Binary,Junior,70,44,48,47,81.95,85.71,High,39,Sports,No,62054,Medium,Yes,High,College
S0149,Student_149,16,Non-Binary,Junior,43,50,71,82,75.03,75.34,Medium,40,None,No,77999,High,Yes,Low,Undecided
S0150,Student_150,22,Male,Junior,90,99,86,86,92.74,99.78,Low,25,Clubs,No,90441,Low,Yes,Low,Job
S0151,Student_151,15,Non-Binary,Freshman,79,89,82,100,90.67,91.54,High,22,Arts,No,47869,Low,Yes,Medium,Undecided
S0152,Student_152,24,Female,Senior,83,88,81,81,92.98,63.05,Medium,28,Arts,Yes,85647,Medium,Yes,Medium,Gap Year
S0153,Student_153,17,Male,Freshman,87,93,75,83,78.52,96.66,High,29,Arts,No,66157,Low,Yes,Low,Undecided
S0154,Student_154,18,Male,Sophomore,74,63,93,75,76.29,80.63,Low,40,Arts,Yes,81675,High,No,High,Undecided
S0155,Student_155,15,Male,Senior,87,99,42,95,94.11,78.7,High,20,None,Yes,32517,Medium,Yes,Low,College
S0156,Student_156,18,Male,Senior,58,97,75,48,89.45,65.14,High,21,Sports,Yes,48634,Medium,Yes,Medium,Gap Year
S0157,Student_157,22,Male,Senior,53,63,92,81,79.31,88.68,Low,38,None,Yes,66300,Low,No,High,Undecided
S0158,Student_158,24,Female,Sophomore,44,54,47,77,76.14,72.63,Low,28,None,No,98305,Medium,Yes,High,Gap Year
S0159,Student_159,24,Male,Sophomore,63,55,85,60,95.57,61.66,Medium,39,Arts,Yes,90187,Medium,Yes,Medium,Gap Year
S0160,Student_160,20,Non-Binary,Junior,98,91,56,68,78.37,97.35,Medium,22,None,No,54403,Medium,Yes,High,Gap Year
S0161,Student_161,15,Male,Freshman,52,60,60,95,87.05,82.25,Medium,37,Sports,No,67612,High,Yes,High,Job
S0162,Student_162,23,Male,Senior,55,68,74,97,97.59,95.22,Low,15,Sports,Yes,40903,Medium,Yes,Medium,College
S0163,Student_163,20,Non-Binary,Junior,49,90,74,46,99.82,68.32,Low,6,Sports,No,43347,Medium,Yes,High,Gap Year
S0164,Student_164,23,Male,Senior,78,88,52,61,98.84,63.7,High,13,Arts,No,27996,Medium,No,Medium,College
S0165,Student_165,20,Female,Sophomore,58,56,72,85,89.28,71.49,Medium,33,None,Yes,60067,High,Yes,High,Undecided
S0166,Student_166,25,Non-Binary,Junior,69,87,59,83,79.42,62.28,Medium,12,Arts,Yes,72768,High,Yes,High,Job
S0167,Student_167,18,Non-Binary,Senior,71,87,84,62,88.64,89.2,Low,25,Sports,Yes,98264,Medium,No,High,Job
S0168,Student_168,18,Female,Freshman,58,94,93,95,85.86,84.15,Medium,18,Arts,No,82007,Medium,No,Medium,Gap Year
S0169,Student_169,24,Male,Sophomore,66,72,49,77,90.35,70.58,Low,13,Arts,No,59334,Low,No,Medium,Undecided
S0170,Student_170,21,Female,Junior,77,59,80,100,88.7,62.74,Low,29,Clubs,Yes,20628,Medium,Yes,High,Undecided
S0171,Student_171,22,Non-Binary,Freshman,45,80,53,73,96.68,92.36,Low,29,Sports,No,57509,Medium,Yes,Low,Undecided
S0172,Student_172,20,Non-Binary,Junior,80,75,79,77,93.52,61.43,High,35,Clubs,Yes,39752,High,No,High,College
S0173,Student_173,16,Female,Senior,40,47,45,75,99.9,79.89,Low,8,Clubs,Yes,72756,Low,Yes,Low,Gap Year
S0174,Student_174,22,Male,Junior,68,68,43,68,80.64,95.87,Low,9,Clubs,No,69036,High,Yes,Medium,Gap Year
S0175,Student_175,24,Female,Freshman,53,100,45,81,94.28,81.32,Low,11,Clubs,Yes,75012,Medium,Yes,Low,Job
S0176,Student_176,22,Female,Senior,84,53,68,54,87.31,76.75,High,15,Clubs,No,86900,Low,No,Medium,Gap Year
S0177,Student_177,19,Male,Senior,66,58,72,88,80.84,91.39,High,24,Arts,Yes,40238,High,Yes,Low,Undecided
S0178,Student_178,25,Male,Junior,99,51,93,66,94.77,65.81,Low,25,Clubs,No,88176,High,Yes,Medium,Gap Year
S0179,Student_179,20,Female,Freshman,92,56,79,56,95.87,80.95,Medium,17,Sports,No,59038,Low,No,Low,Job
S0180,Student_180,17,Non-Binary,Sophomore,63,61,51,95,81.42,97.99,Medium,29,Clubs,No,40361,Low,Yes,Low,Gap Year
S0181,Student_181,17,Male,Senior,42,90,75,80,87.45,87.1,Low,21,None,Yes,37000,Medium,Yes,High,College
S0182,Student_182,19,Male,Junior,97,59,83,92,75.12,68.96,Medium,16,Arts,Yes,22793,High,No,Low,College
S0183,Student_183,25,Female,Sophomore,68,43,50,66,96.54,96.25,High,8,Clubs,Yes,62364,Low,No,Medium,Undecided
S0184,Student_184,23,Male,Sophomore,66,87,62,61,85.7,91.12,Low,10,Clubs,Yes,25292,Low,Yes,Low,College
S0185,Student_185,24,Non-Binary,Junior,75,87,62,95,81.1,70.65,Low,14,Clubs,Yes,50479,Low,No,Medium,Gap Year
S0186,Student_186,15,Female,Junior,47,94,99,63,88.09,65.87,Medium,17,Clubs,Yes,72432,High,No,Low,College
S0187,Student_187,23,Male,Sophomore,80,42,69,50,77.1,91.29,High,6,Sports,No,77449,Low,Yes,Low,College
S0188,Student_188,22,Non-Binary,Freshman,53,96,87,97,86.06,82.02,Medium,23,Sports,No,39552,Medium,Yes,High,Gap Year
S0189,Student_189,23,Male,Freshman,91,92,78,49,89.82,68.04,Low,39,Clubs,No,62972,Low,No,High,Job
S0190,Student_190,16,Female,Sophomore,88,41,91,63,87.49,79.94,Low,38,Arts,Yes,96636,Low,No,Medium,College
S0191,Student_191,21,Female,Junior,40,62,75,80,78.59,79.37,High,38,None,Yes,78934,High,Yes,Medium,Undecided
S0192,Student_192,25,Non-Binary,Junior,77,96,70,78,96.35,86.03,Low,18,Clubs,No,20322,Low,Yes,Low,Gap Year
S0193,Student_193,25,Non-Binary,Freshman,59,95,78,83,92.88,97.82,Medium,20,Arts,No,47513,High,No,High,College
S0194,Student_194,19,Female,Senior,64,99,48,90,78.71,97.16,High,6,None,Yes,29589,Low,No,Medium,Undecided
S0195,Student_195,17,Male,Senior,43,99,78,43,89.22,88.92,Medium,7,Sports,No,48988,Medium,Yes,Low,Job
S0196,Student_196,25,Non-Binary,Senior,54,50,47,92,79.47,85.02,High,32,None,No,48824,Low,No,Low,Job
S0197,Student_197,24,Male,Junior,87,95,79,91,87.09,99.59,Medium,35,Sports,No,93445,High,Yes,High,Gap Year
S0198,Student_198,23,Female,Sophomore,40,93,87,74,92.68,99.07,Medium,6,None,No,36794,Medium,No,High,Undecided
S0199,Student_199,15,Female,Sophomore,82,66,47,54,99.45,75.92,Low,30,Sports,Yes,47496,High,Yes,High,College
S0200,Student_200,25,Non-Binary,Freshman,75,67,61,46,90.79,95.34,High,10,Clubs,Yes,90265,Medium,No,High,Job
S0201,Student_201,21,Female,Senior,75,57,56,61,90.76,71.08,High,8,Sports,No,81871,High,No,Medium,Gap Year
S0202,Student_202,16,Male,Sophomore,74,59,75,60,78.46,96.95,Medium,11,Sports,Yes,86883,Medium,Yes,Medium,Undecided
S0203,Student_203,18,Male,Senior,61,95,44,46,81.87,82.1,Low,40,None,No,67179,Medium,No,High,Gap Year
S0204,Student_204,18,Male,Sophomore,96,98,54,43,91.65,94.63,High,33,Clubs,Yes,91040,Low,Yes,Medium,Job
S0205,Student_205,16,Non-Binary,Freshman,53,91,83,67,98.18,81.22,High,22,None,Yes,84280,High,No,High,College
S0206,Student_206,20,Female,Freshman,71,80,57,44,76.31,71.0,High,32,None,Yes,95046,Low,No,Low,College
S0207,Student_207,24,Non-Binary,Sophomore,77,67,96,67,79.96,63.77,Medium,13,Sports,No,71428,High,No,Low,Job
S0208,Student_208,23,Male,Senior,73,75,45,81,75.54,85.54,High,28,Clubs,No,68840,Medium,Yes,High,Job
S0209,Student_209,16,Non-Binary,Sophomore,84,85,77,75,80.25,69.98,High,12,Clubs,No,95349,Low,Yes,Medium,Undecided
S0210,Student_210,23,Female,Junior,45,94,61,48,91.81,71.41,High,9,Sports,Yes,95987,High,Yes,Medium,College
S0211,Student_211,18,Female,Junior,74,77,58,68,80.39,96.46,Low,22,Arts,Yes,84315,High,Yes,Low,College
S0212,Student_212,15,Male,Senior,51,73,49,78,92.58,76.07,High,35,Sports,Yes,91214,High,Yes,Medium,College
S0213,Student_213,17,Female,Senior,87,52,49,77,82.26,70.69,Low,23,Arts,Yes,23139,Medium,Yes,Low,Undecided
S0214,Student_214,16,Male,Sophomore,56,40,58,52,75.17,77.61,Low,9,None,No,54743,Low,No,Low,Gap Year
S0215,Student_215,22,Female,Freshman,87,50,64,42,89.66,88.76,High,26,Clubs,No,44372,Medium,Yes,Medium,Job
S0216,Student_216,23,Non-Binary,Freshman,71,72,97,89,82.38,91.84,High,28,None,Yes,47533,High,Yes,High,Gap Year
